Model A,Model B,Pleft,Prope,Pright,SampleSize
OrthogonalAE,EfficientKAN,0.0033,0.0045,0.9922,500
OrthogonalAE,FastKAN,0.2161,0.1128,0.671,500
OrthogonalAE,FourierKAN,0.9997,0.0003,0.0,500
OrthogonalAE,WavKAN,0.1318,0.0104,0.8579,500
EfficientKAN,FastKAN,0.9964,0.0036,0.0,500
EfficientKAN,FourierKAN,0.9998,0.0002,0.0,500
EfficientKAN,WavKAN,0.999,0.0002,0.0008,500
FastKAN,FourierKAN,0.9998,0.0002,0.0,500
FastKAN,WavKAN,0.2198,0.0329,0.7473,500
FourierKAN,WavKAN,0.0,0.0025,0.9975,500
OrthogonalAE,EfficientKAN,0.0303,0.0082,0.9616,1000
OrthogonalAE,FastKAN,0.4712,0.0517,0.4771,1000
OrthogonalAE,FourierKAN,0.9998,0.0002,0.0,1000
OrthogonalAE,WavKAN,0.0567,0.0532,0.8902,1000
EfficientKAN,FastKAN,0.878,0.0949,0.0271,1000
EfficientKAN,FourierKAN,0.9906,0.0044,0.005,1000
EfficientKAN,WavKAN,0.9312,0.0396,0.0292,1000
FastKAN,FourierKAN,0.998,0.0005,0.0016,1000
FastKAN,WavKAN,0.014,0.021,0.965,1000
FourierKAN,WavKAN,0.0,0.005,0.995,1000
OrthogonalAE,EfficientKAN,0.0385,0.0073,0.9542,1500
OrthogonalAE,FastKAN,0.4978,0.0485,0.4537,1500
OrthogonalAE,FourierKAN,0.998,0.002,0.0,1500
OrthogonalAE,WavKAN,0.0163,0.0534,0.9303,1500
EfficientKAN,FastKAN,0.8821,0.0437,0.0742,1500
EfficientKAN,FourierKAN,0.9913,0.0037,0.005,1500
EfficientKAN,WavKAN,0.8962,0.029,0.0749,1500
FastKAN,FourierKAN,0.9918,0.0019,0.0063,1500
FastKAN,WavKAN,0.0042,0.0334,0.9624,1500
FourierKAN,WavKAN,0.0,0.0712,0.9288,1500
OrthogonalAE,EfficientKAN,0.0372,0.007,0.9558,2500
OrthogonalAE,FastKAN,0.3954,0.0618,0.5428,2500
OrthogonalAE,FourierKAN,0.9973,0.0024,0.0003,2500
OrthogonalAE,WavKAN,0.0071,0.0091,0.9838,2500
EfficientKAN,FastKAN,0.886,0.0432,0.0709,2500
EfficientKAN,FourierKAN,0.9846,0.0006,0.0148,2500
EfficientKAN,WavKAN,0.789,0.0255,0.1855,2500
FastKAN,FourierKAN,0.9959,0.0015,0.0026,2500
FastKAN,WavKAN,0.008,0.0267,0.9653,2500
FourierKAN,WavKAN,0.0,0.0359,0.9641,2500
OrthogonalAE,EfficientKAN,0.0448,0.0043,0.951,4000
OrthogonalAE,FastKAN,0.306,0.0721,0.6219,4000
OrthogonalAE,FourierKAN,0.9954,0.0004,0.0042,4000
OrthogonalAE,WavKAN,0.0016,0.005,0.9934,4000
EfficientKAN,FastKAN,0.854,0.0552,0.0908,4000
EfficientKAN,FourierKAN,0.9849,0.0007,0.0144,4000
EfficientKAN,WavKAN,0.4957,0.1746,0.3297,4000
FastKAN,FourierKAN,0.9957,0.0018,0.0025,4000
FastKAN,WavKAN,0.0076,0.0273,0.9651,4000
FourierKAN,WavKAN,0.0,0.0249,0.9751,4000
OrthogonalAE,EfficientKAN,0.082,0.011,0.907,6500
OrthogonalAE,FastKAN,0.3019,0.061,0.6371,6500
OrthogonalAE,FourierKAN,0.9924,0.0024,0.0053,6500
OrthogonalAE,WavKAN,0.0,0.0519,0.9481,6500
EfficientKAN,FastKAN,0.8008,0.0112,0.1881,6500
EfficientKAN,FourierKAN,0.9845,0.0008,0.0147,6500
EfficientKAN,WavKAN,0.3777,0.2874,0.3349,6500
FastKAN,FourierKAN,0.9925,0.0043,0.0032,6500
FastKAN,WavKAN,0.0139,0.0333,0.9528,6500
FourierKAN,WavKAN,0.0,0.0351,0.9649,6500
OrthogonalAE,EfficientKAN,0.1407,0.0647,0.7946,11000
OrthogonalAE,FastKAN,0.2467,0.4367,0.3166,11000
OrthogonalAE,FourierKAN,0.9888,0.0053,0.0059,11000
OrthogonalAE,WavKAN,0.0004,0.1275,0.8721,11000
