Model,Sample Size,Mean FAR (%),95% CI (%)
OAE,500,1.97,0.37
OAE,1000,2.5,0.41
OAE,1500,2.61,0.35
OAE,2500,2.65,0.34
OAE,4000,2.03,0.24
OAE,6500,2.4,0.28
OAE,11000,2.51,0.26
OAE,18500,2.83,0.34
OAE,30500,2.6,0.34
OAE,51500,2.94,0.28
OAE,86000,3.0,0.24
OAE,144000,3.22,0.27
OAE,200000,3.19,0.27
EfficientKAN-AE,500,1.74,0.47
EfficientKAN-AE,1000,2.36,0.47
EfficientKAN-AE,1500,2.65,0.34
EfficientKAN-AE,2500,2.9,0.42
EfficientKAN-AE,4000,2.85,0.37
EfficientKAN-AE,6500,3.12,0.3
EfficientKAN-AE,11000,3.19,0.3
EfficientKAN-AE,18500,3.11,0.22
EfficientKAN-AE,30500,3.28,0.24
EfficientKAN-AE,51500,3.65,0.22
EfficientKAN-AE,86000,3.62,0.2
EfficientKAN-AE,144000,3.78,0.21
EfficientKAN-AE,200000,3.67,0.25
FastKAN-AE,500,1.42,0.47
FastKAN-AE,1000,1.76,0.44
FastKAN-AE,1500,1.92,0.42
FastKAN-AE,2500,2.01,0.31
FastKAN-AE,4000,2.35,0.28
FastKAN-AE,6500,2.68,0.28
FastKAN-AE,11000,3.14,0.26
FastKAN-AE,18500,3.02,0.21
FastKAN-AE,30500,2.98,0.18
FastKAN-AE,51500,3.27,0.2
FastKAN-AE,86000,3.28,0.14
FastKAN-AE,144000,3.28,0.19
FastKAN-AE,200000,3.39,0.2
FourierKAN-AE,500,1.51,0.42
FourierKAN-AE,1000,2.12,0.5
FourierKAN-AE,1500,2.42,0.43
FourierKAN-AE,2500,2.85,0.44
FourierKAN-AE,4000,3.07,0.45
FourierKAN-AE,6500,3.56,0.41
FourierKAN-AE,11000,4.14,0.33
FourierKAN-AE,18500,4.11,0.34
FourierKAN-AE,30500,4.43,0.23
FourierKAN-AE,51500,4.54,0.25
FourierKAN-AE,86000,4.44,0.18
FourierKAN-AE,144000,4.42,0.21
FourierKAN-AE,200000,4.55,0.16
WavKAN-AE,500,1.42,0.42
WavKAN-AE,1000,1.59,0.33
WavKAN-AE,1500,1.78,0.33
WavKAN-AE,2500,1.86,0.37
WavKAN-AE,4000,1.92,0.23
WavKAN-AE,6500,2.1,0.26
WavKAN-AE,11000,2.19,0.24
WavKAN-AE,18500,2.4,0.26
WavKAN-AE,30500,2.53,0.23
WavKAN-AE,51500,2.56,0.25
WavKAN-AE,86000,2.6,0.23
WavKAN-AE,144000,2.82,0.29
WavKAN-AE,200000,2.8,0.27
PCA,500,4.63,0.53
PCA,1000,4.65,0.5
PCA,1500,4.86,0.43
PCA,2500,4.49,0.38
PCA,4000,4.42,0.36
PCA,6500,4.19,0.33
PCA,11000,4.38,0.23
PCA,18500,4.24,0.23
PCA,30500,4.15,0.16
PCA,51500,4.31,0.11
PCA,86000,4.42,0.13
PCA,144000,4.42,0.08
PCA,200000,4.37,0.02
