Model,Sample Size,Mean FDR (%),95% CI (%)
OAE,500,78.84,0.47
OAE,1000,81.22,0.61
OAE,1500,83.85,0.74
OAE,2500,88.11,1.0
OAE,4000,96.26,1.18
OAE,6500,99.0,0.7
OAE,11000,99.62,0.19
OAE,18500,99.77,0.1
OAE,30500,99.84,0.09
OAE,51500,99.87,0.09
OAE,86000,99.92,0.05
OAE,144000,99.84,0.08
OAE,200000,99.66,0.23
EfficientKAN-AE,500,99.85,0.07
EfficientKAN-AE,1000,100.0,0.01
EfficientKAN-AE,1500,100.0,0.0
EfficientKAN-AE,2500,100.0,0.0
EfficientKAN-AE,4000,100.0,0.0
EfficientKAN-AE,6500,100.0,0.0
EfficientKAN-AE,11000,100.0,0.0
EfficientKAN-AE,18500,100.0,0.0
EfficientKAN-AE,30500,100.0,0.0
EfficientKAN-AE,51500,100.0,0.0
EfficientKAN-AE,86000,100.0,0.0
EfficientKAN-AE,144000,100.0,0.0
EfficientKAN-AE,200000,100.0,0.0
FastKAN-AE,500,97.36,2.24
FastKAN-AE,1000,99.32,0.44
FastKAN-AE,1500,99.58,0.18
FastKAN-AE,2500,99.66,0.15
FastKAN-AE,4000,99.7,0.17
FastKAN-AE,6500,99.9,0.12
FastKAN-AE,11000,99.96,0.06
FastKAN-AE,18500,99.97,0.04
FastKAN-AE,30500,99.82,0.17
FastKAN-AE,51500,99.92,0.06
FastKAN-AE,86000,99.92,0.03
FastKAN-AE,144000,99.88,0.04
FastKAN-AE,200000,99.89,0.04
FourierKAN-AE,500,68.7,3.6
FourierKAN-AE,1000,75.29,3.31
FourierKAN-AE,1500,78.98,1.37
FourierKAN-AE,2500,78.86,1.06
FourierKAN-AE,4000,78.69,0.76
FourierKAN-AE,6500,78.95,0.57
FourierKAN-AE,11000,79.46,0.48
FourierKAN-AE,18500,79.03,0.41
FourierKAN-AE,30500,79.33,0.58
FourierKAN-AE,51500,80.17,1.1
FourierKAN-AE,86000,81.98,1.34
FourierKAN-AE,144000,81.55,0.73
FourierKAN-AE,200000,82.31,1.09
WavKAN-AE,500,95.88,2.35
WavKAN-AE,1000,99.7,0.49
WavKAN-AE,1500,100.0,0.0
WavKAN-AE,2500,100.0,0.0
WavKAN-AE,4000,100.0,0.0
WavKAN-AE,6500,100.0,0.0
WavKAN-AE,11000,100.0,0.0
WavKAN-AE,18500,100.0,0.0
WavKAN-AE,30500,100.0,0.0
WavKAN-AE,51500,100.0,0.0
WavKAN-AE,86000,100.0,0.0
WavKAN-AE,144000,100.0,0.0
WavKAN-AE,200000,100.0,0.0
PCA,500,76.4,0.4
PCA,1000,76.41,0.3
PCA,1500,76.47,0.31
PCA,2500,76.44,0.31
PCA,4000,76.53,0.21
PCA,6500,76.39,0.16
PCA,11000,76.52,0.12
PCA,18500,76.53,0.12
PCA,30500,76.56,0.11
PCA,51500,76.49,0.08
PCA,86000,76.46,0.09
PCA,144000,76.48,0.04
PCA,200000,76.48,0.03
