Model,Sample Size,Mean FAR (%),95% CI (%)
OAE,500,4.78,0.66
OAE,1000,5.15,0.63
OAE,1500,4.92,0.48
OAE,2500,4.97,0.46
OAE,4000,4.7,0.36
OAE,6500,4.52,0.45
OAE,11000,4.97,0.42
OAE,18500,5.08,0.37
OAE,30500,5.38,0.37
OAE,51500,5.14,0.37
OAE,86000,4.78,0.25
OAE,144000,5.01,0.2
OAE,200000,4.89,0.31
EfficientKAN-AE,500,5.78,0.96
EfficientKAN-AE,1000,4.31,0.54
EfficientKAN-AE,1500,4.59,0.45
EfficientKAN-AE,2500,4.61,0.4
EfficientKAN-AE,4000,4.58,0.31
EfficientKAN-AE,6500,4.69,0.42
EfficientKAN-AE,11000,4.53,0.3
EfficientKAN-AE,18500,4.33,0.23
EfficientKAN-AE,30500,4.48,0.28
EfficientKAN-AE,51500,4.38,0.18
EfficientKAN-AE,86000,4.2,0.15
EfficientKAN-AE,144000,4.16,0.12
EfficientKAN-AE,200000,4.24,0.16
FastKAN-AE,500,3.63,1.09
FastKAN-AE,1000,3.65,0.84
FastKAN-AE,1500,3.73,0.79
FastKAN-AE,2500,4.23,0.64
FastKAN-AE,4000,4.48,0.45
FastKAN-AE,6500,4.9,0.37
FastKAN-AE,11000,5.53,0.36
FastKAN-AE,18500,5.49,0.32
FastKAN-AE,30500,5.56,0.34
FastKAN-AE,51500,5.72,0.2
FastKAN-AE,86000,5.9,0.19
FastKAN-AE,144000,5.89,0.17
FastKAN-AE,200000,5.93,0.18
FourierKAN-AE,500,3.99,0.89
FourierKAN-AE,1000,2.76,0.69
FourierKAN-AE,1500,2.53,0.56
FourierKAN-AE,2500,2.58,0.64
FourierKAN-AE,4000,2.19,0.43
FourierKAN-AE,6500,2.42,0.43
FourierKAN-AE,11000,2.84,0.33
FourierKAN-AE,18500,2.8,0.35
FourierKAN-AE,30500,3.01,0.29
FourierKAN-AE,51500,3.28,0.32
FourierKAN-AE,86000,3.72,0.24
FourierKAN-AE,144000,3.73,0.22
FourierKAN-AE,200000,3.85,0.19
WavKAN-AE,500,4.02,1.05
WavKAN-AE,1000,3.79,0.82
WavKAN-AE,1500,4.1,0.76
WavKAN-AE,2500,4.45,0.65
WavKAN-AE,4000,4.59,0.59
WavKAN-AE,6500,4.73,0.55
WavKAN-AE,11000,5.17,0.46
WavKAN-AE,18500,5.14,0.51
WavKAN-AE,30500,5.16,0.47
WavKAN-AE,51500,5.27,0.39
WavKAN-AE,86000,5.06,0.41
WavKAN-AE,144000,5.38,0.33
WavKAN-AE,200000,5.5,0.43
PCA,500,4.97,0.54
PCA,1000,5.28,0.53
PCA,1500,5.51,0.39
PCA,2500,5.58,0.37
PCA,4000,5.69,0.24
PCA,6500,5.59,0.26
PCA,11000,5.81,0.22
PCA,18500,5.77,0.15
PCA,30500,5.65,0.13
PCA,51500,5.68,0.08
PCA,86000,5.74,0.09
PCA,144000,5.7,0.08
PCA,200000,5.67,0.07
