Model,Sample Size,Mean FDR (%),95% CI (%)
OAE,500,6.95,0.56
OAE,1000,6.97,0.52
OAE,1500,6.95,0.31
OAE,2500,7.06,0.32
OAE,4000,6.49,0.33
OAE,6500,6.39,0.32
OAE,11000,6.52,0.28
OAE,18500,6.54,0.33
OAE,30500,6.72,0.28
OAE,51500,6.7,0.25
OAE,86000,6.38,0.2
OAE,144000,6.4,0.23
OAE,200000,6.37,0.26
EfficientKAN-AE,500,7.31,0.55
EfficientKAN-AE,1000,6.37,0.45
EfficientKAN-AE,1500,6.47,0.37
EfficientKAN-AE,2500,6.62,0.33
EfficientKAN-AE,4000,6.56,0.29
EfficientKAN-AE,6500,6.61,0.29
EfficientKAN-AE,11000,6.5,0.25
EfficientKAN-AE,18500,6.16,0.3
EfficientKAN-AE,30500,5.96,0.26
EfficientKAN-AE,51500,5.63,0.24
EfficientKAN-AE,86000,5.17,0.15
EfficientKAN-AE,144000,5.48,0.15
EfficientKAN-AE,200000,5.35,0.15
FastKAN-AE,500,6.04,0.76
FastKAN-AE,1000,5.45,0.62
FastKAN-AE,1500,5.21,0.5
FastKAN-AE,2500,5.3,0.33
FastKAN-AE,4000,4.97,0.29
FastKAN-AE,6500,4.43,0.25
FastKAN-AE,11000,4.33,0.2
FastKAN-AE,18500,4.23,0.16
FastKAN-AE,30500,4.34,0.19
FastKAN-AE,51500,4.32,0.15
FastKAN-AE,86000,4.48,0.16
FastKAN-AE,144000,4.46,0.14
FastKAN-AE,200000,4.6,0.12
FourierKAN-AE,500,6.52,0.62
FourierKAN-AE,1000,5.31,0.54
FourierKAN-AE,1500,5.32,0.42
FourierKAN-AE,2500,5.41,0.48
FourierKAN-AE,4000,5.47,0.42
FourierKAN-AE,6500,5.52,0.39
FourierKAN-AE,11000,5.86,0.36
FourierKAN-AE,18500,5.78,0.31
FourierKAN-AE,30500,5.88,0.24
FourierKAN-AE,51500,6.05,0.2
FourierKAN-AE,86000,6.07,0.13
FourierKAN-AE,144000,6.13,0.13
FourierKAN-AE,200000,6.14,0.12
WavKAN-AE,500,5.89,0.72
WavKAN-AE,1000,5.2,0.57
WavKAN-AE,1500,5.6,0.51
WavKAN-AE,2500,5.76,0.5
WavKAN-AE,4000,5.71,0.47
WavKAN-AE,6500,5.81,0.46
WavKAN-AE,11000,6.08,0.38
WavKAN-AE,18500,6.01,0.48
WavKAN-AE,30500,6.24,0.38
WavKAN-AE,51500,6.6,0.28
WavKAN-AE,86000,6.27,0.32
WavKAN-AE,144000,6.58,0.3
WavKAN-AE,200000,6.89,0.25
PCA,500,6.64,0.31
PCA,1000,6.95,0.22
PCA,1500,7.11,0.23
PCA,2500,7.04,0.2
PCA,4000,7.17,0.16
PCA,6500,7.28,0.16
PCA,11000,7.51,0.16
PCA,18500,7.59,0.15
PCA,30500,7.64,0.13
PCA,51500,7.64,0.11
PCA,86000,7.61,0.1
PCA,144000,7.6,0.05
PCA,200000,7.59,0.03
