Model,Sample Size,Mean FAR (%),95% CI (%)
OAE,500,2.62,0.28
OAE,1000,2.83,0.24
OAE,1500,2.98,0.24
OAE,2500,3.01,0.21
OAE,4000,2.76,0.23
OAE,6500,2.67,0.19
OAE,11000,2.86,0.21
OAE,18500,2.97,0.16
OAE,30500,2.79,0.19
OAE,51500,2.87,0.15
OAE,86000,2.72,0.12
OAE,144000,2.83,0.15
OAE,200000,2.76,0.16
EfficientKAN-AE,500,2.47,0.34
EfficientKAN-AE,1000,2.43,0.29
EfficientKAN-AE,1500,2.74,0.24
EfficientKAN-AE,2500,2.71,0.21
EfficientKAN-AE,4000,2.74,0.18
EfficientKAN-AE,6500,2.89,0.22
EfficientKAN-AE,11000,2.87,0.13
EfficientKAN-AE,18500,2.92,0.13
EfficientKAN-AE,30500,3.08,0.12
EfficientKAN-AE,51500,3.23,0.1
EfficientKAN-AE,86000,3.25,0.07
EfficientKAN-AE,144000,3.3,0.08
EfficientKAN-AE,200000,3.29,0.1
FastKAN-AE,500,3.37,0.47
FastKAN-AE,1000,3.64,0.43
FastKAN-AE,1500,3.72,0.42
FastKAN-AE,2500,3.97,0.34
FastKAN-AE,4000,4.21,0.32
FastKAN-AE,6500,4.38,0.27
FastKAN-AE,11000,4.75,0.21
FastKAN-AE,18500,4.73,0.15
FastKAN-AE,30500,4.75,0.19
FastKAN-AE,51500,4.97,0.14
FastKAN-AE,86000,5.03,0.11
FastKAN-AE,144000,5.13,0.14
FastKAN-AE,200000,5.06,0.12
FourierKAN-AE,500,2.41,0.39
FourierKAN-AE,1000,2.06,0.33
FourierKAN-AE,1500,2.17,0.29
FourierKAN-AE,2500,2.18,0.27
FourierKAN-AE,4000,2.27,0.24
FourierKAN-AE,6500,2.4,0.24
FourierKAN-AE,11000,2.81,0.21
FourierKAN-AE,18500,2.82,0.2
FourierKAN-AE,30500,3.06,0.17
FourierKAN-AE,51500,3.14,0.15
FourierKAN-AE,86000,3.25,0.11
FourierKAN-AE,144000,3.18,0.1
FourierKAN-AE,200000,3.25,0.08
WavKAN-AE,500,1.98,0.44
WavKAN-AE,1000,1.85,0.31
WavKAN-AE,1500,1.99,0.29
WavKAN-AE,2500,2.07,0.28
WavKAN-AE,4000,2.04,0.23
WavKAN-AE,6500,2.21,0.24
WavKAN-AE,11000,2.43,0.17
WavKAN-AE,18500,2.43,0.22
WavKAN-AE,30500,2.6,0.2
WavKAN-AE,51500,2.72,0.18
WavKAN-AE,86000,2.54,0.12
WavKAN-AE,144000,2.76,0.12
WavKAN-AE,200000,2.91,0.17
PCA,500,3.93,0.26
PCA,1000,4.46,0.22
PCA,1500,4.9,0.23
PCA,2500,4.99,0.22
PCA,4000,5.09,0.16
PCA,6500,5.28,0.2
PCA,11000,5.47,0.17
PCA,18500,5.47,0.11
PCA,30500,5.48,0.09
PCA,51500,5.45,0.07
PCA,86000,5.43,0.06
PCA,144000,5.46,0.05
PCA,200000,5.5,0.04
