Model,Sample Size,Mean FDR (%),95% CI (%)
OAE,500,83.31,0.48
OAE,1000,84.92,0.44
OAE,1500,86.14,0.38
OAE,2500,87.19,0.26
OAE,4000,88.31,0.24
OAE,6500,89.06,0.29
OAE,11000,90.43,0.18
OAE,18500,91.22,0.15
OAE,30500,91.56,0.11
OAE,51500,91.81,0.11
OAE,86000,91.7,0.09
OAE,144000,91.75,0.12
OAE,200000,91.61,0.14
EfficientKAN-AE,500,90.77,0.54
EfficientKAN-AE,1000,91.24,0.18
EfficientKAN-AE,1500,91.29,0.15
EfficientKAN-AE,2500,91.26,0.12
EfficientKAN-AE,4000,91.25,0.1
EfficientKAN-AE,6500,91.3,0.11
EfficientKAN-AE,11000,91.33,0.09
EfficientKAN-AE,18500,91.29,0.09
EfficientKAN-AE,30500,91.16,0.09
EfficientKAN-AE,51500,91.0,0.1
EfficientKAN-AE,86000,90.82,0.08
EfficientKAN-AE,144000,90.82,0.12
EfficientKAN-AE,200000,90.81,0.08
FastKAN-AE,500,83.44,0.63
FastKAN-AE,1000,84.02,0.5
FastKAN-AE,1500,84.44,0.53
FastKAN-AE,2500,85.52,0.75
FastKAN-AE,4000,87.31,0.9
FastKAN-AE,6500,88.78,0.66
FastKAN-AE,11000,89.82,0.42
FastKAN-AE,18500,90.12,0.2
FastKAN-AE,30500,89.88,0.69
FastKAN-AE,51500,90.76,0.12
FastKAN-AE,86000,91.05,0.1
FastKAN-AE,144000,91.22,0.09
FastKAN-AE,200000,91.25,0.1
FourierKAN-AE,500,77.52,0.73
FourierKAN-AE,1000,79.26,0.76
FourierKAN-AE,1500,80.05,0.47
FourierKAN-AE,2500,80.41,0.49
FourierKAN-AE,4000,80.56,0.4
FourierKAN-AE,6500,80.68,0.33
FourierKAN-AE,11000,81.21,0.3
FourierKAN-AE,18500,81.23,0.28
FourierKAN-AE,30500,81.49,0.2
FourierKAN-AE,51500,81.82,0.24
FourierKAN-AE,86000,82.33,0.2
FourierKAN-AE,144000,82.48,0.17
FourierKAN-AE,200000,82.67,0.16
WavKAN-AE,500,85.12,1.27
WavKAN-AE,1000,88.04,0.96
WavKAN-AE,1500,89.95,0.55
WavKAN-AE,2500,91.23,0.48
WavKAN-AE,4000,91.97,0.32
WavKAN-AE,6500,92.13,0.35
WavKAN-AE,11000,92.23,0.27
WavKAN-AE,18500,92.28,0.22
WavKAN-AE,30500,92.38,0.21
WavKAN-AE,51500,92.41,0.18
WavKAN-AE,86000,92.29,0.18
WavKAN-AE,144000,92.42,0.18
WavKAN-AE,200000,92.37,0.21
PCA,500,80.06,0.57
PCA,1000,80.17,0.49
PCA,1500,80.06,0.42
PCA,2500,80.1,0.25
PCA,4000,80.21,0.22
PCA,6500,80.05,0.17
PCA,11000,80.11,0.12
PCA,18500,80.13,0.11
PCA,30500,80.09,0.09
PCA,51500,80.1,0.07
PCA,86000,80.09,0.06
PCA,144000,80.11,0.04
PCA,200000,80.08,0.02
