Fault,Type,Disturbed Value,Detection Time,F1,FDR,Recall,Precision,FPR,FNR
IDV 3,Step,D feed (stream 2) temperature,66,0.09004739336492891,0.0475,0.0475,0.8636363636363636,0.0375,0.9525
IDV 9,Random,D feed (stream 2) temperature,39,0.06921241050119331,0.03625,0.03625,0.7631578947368421,0.05625,0.96375
IDV 15,Stiction,Cooling water outlet valve of separator,294,0.1565017261219793,0.085,0.085,0.9855072463768116,0.00625,0.915
IDV 4,Step,Cooling water inlet temperature of reactor,6,0.9956440572495334,1.0,1.0,0.9913258983890955,0.04375,0.0
IDV 5,Step,Cooling water inlet temperature of separator,6,0.4584527220630373,0.3,0.3,0.97165991902834,0.04375,0.7
IDV 7,Step,C header pressure loss (stream 4),15,0.9975062344139651,1.0,1.0,0.9950248756218906,0.025,0.0
IDV 1,Step,"A/C-ratio of stream 4, B composition constant",171,0.9974968710888611,0.99625,0.99625,0.9987468671679198,0.00625,0.00375
IDV 2,Step,"B composition of stream 4, A/C-ratio constant",246,0.9893283113622098,0.985,0.985,0.9936948297604036,0.03125,0.015
IDV 6,Step,A feed loss (stream 1),162,0.9975062344139651,1.0,1.0,0.9950248756218906,0.025,0.0
IDV 8,Random,A/B/C composition of stream 4,153,0.9899244332493703,0.9825,0.9825,0.9974619289340102,0.0125,0.0175
IDV 10,Random,C feed (stream 4) temperature,300,0.657190635451505,0.49125,0.49125,0.9924242424242424,0.01875,0.50875
IDV 11,Random,Cooling water inlet temperature of reactor,138,0.8939393939393939,0.81125,0.81125,0.995398773006135,0.01875,0.18875
IDV 12,Random,Cooling water inlet temperature of separator,72,0.9906073888541015,0.98875,0.98875,0.9924717691342535,0.0375,0.01125
IDV 13,Drift,Reaction kinetics,186,0.9704749679075737,0.945,0.945,0.9973614775725593,0.0125,0.055
IDV 14,Stiction,Cooling water outlet valve of reactor,387,0.9993753903810119,1.0,1.0,0.9987515605493134,0.00625,0.0
IDV 16,Random,(unknown); deviations of heat transfer within stripper,165,0.532608695652174,0.3675,0.3675,0.9671052631578947,0.0625,0.6325
IDV 17,Random,(unknown); deviations of heat transfer within reactor,192,0.9698910954516335,0.94625,0.94625,0.9947437582128777,0.025,0.05375
IDV 18,Random,(unknown); deviations of heat transfer within condenser,72,0.9447368421052631,0.8975,0.8975,0.9972222222222222,0.0125,0.1025
IDV 19,Stiction,"(unknown); recycle valve, underflow separator/stripper",207,0.4122893954410307,0.26,0.26,0.9952153110047847,0.00625,0.74
IDV 20,Random,(unknown),18,0.6963562753036436,0.5375,0.5375,0.9885057471264368,0.03125,0.4625
IDV 21,Random,(unknown),351,0.6020942408376964,0.43125,0.43125,0.9971098265895953,0.00625,0.56875
