Fault,Type,Disturbed Value,Detection Time,F1,FDR,Recall,Precision,FPR,FNR
IDV 3,Step,D feed (stream 2) temperature,150,0.1148886283704572,0.06125,0.06125,0.9245283018867925,0.025,0.93875
IDV 9,Random,D feed (stream 2) temperature,111,0.09635722679200939,0.05125,0.05125,0.803921568627451,0.0625,0.94875
IDV 15,Stiction,Cooling water outlet valve of separator,42,0.17253121452894438,0.095,0.095,0.9382716049382716,0.03125,0.905
IDV 4,Step,Cooling water inlet temperature of reactor,3,0.9937578027465668,0.995,0.995,0.9925187032418953,0.0375,0.005
IDV 5,Step,Cooling water inlet temperature of separator,3,0.9962640099626401,1.0,1.0,0.9925558312655087,0.0375,0.0
IDV 7,Step,C header pressure loss (stream 4),33,0.9962640099626401,1.0,1.0,0.9925558312655087,0.0375,0.0
IDV 1,Step,"A/C-ratio of stream 4, B composition constant",216,0.9981285090455396,1.0,1.0,0.9962640099626401,0.01875,0.0
IDV 2,Step,"B composition of stream 4, A/C-ratio constant",72,0.9893148962916405,0.98375,0.98375,0.9949431099873578,0.025,0.01625
IDV 6,Step,A feed loss (stream 1),66,0.9981285090455396,1.0,1.0,0.9962640099626401,0.01875,0.0
IDV 8,Random,A/B/C composition of stream 4,57,0.9874213836477987,0.98125,0.98125,0.9936708860759493,0.03125,0.01875
IDV 10,Random,C feed (stream 4) temperature,495,0.9189189189189189,0.85,0.85,1.0,0.0,0.15
IDV 11,Random,Cooling water inlet temperature of reactor,42,0.8310369833212473,0.71625,0.71625,0.9896373056994818,0.0375,0.28375
IDV 12,Random,Cooling water inlet temperature of separator,78,0.9925187032418954,0.995,0.995,0.9900497512437811,0.05,0.005
IDV 13,Drift,Reaction kinetics,471,0.9757033248081841,0.95375,0.95375,0.9986910994764397,0.00625,0.04625
IDV 14,Stiction,Cooling water outlet valve of reactor,270,0.9981285090455396,1.0,1.0,0.9962640099626401,0.01875,0.0
IDV 16,Random,(unknown); deviations of heat transfer within stripper,138,0.9162759544541194,0.855,0.855,0.987012987012987,0.05625,0.145
IDV 17,Random,(unknown); deviations of heat transfer within reactor,153,0.9758883248730964,0.96125,0.96125,0.990979381443299,0.04375,0.03875
IDV 18,Random,(unknown); deviations of heat transfer within condenser,66,0.947575360419397,0.90375,0.90375,0.9958677685950413,0.01875,0.09625
IDV 19,Stiction,"(unknown); recycle valve, underflow separator/stripper",138,0.9313790806129247,0.87375,0.87375,0.9971469329529244,0.0125,0.12625
IDV 20,Random,(unknown),687,0.8513998564249821,0.74125,0.74125,1.0,0.0,0.25875
IDV 21,Random,(unknown),36,0.6247877758913413,0.46,0.46,0.9735449735449735,0.0625,0.54
