Fault,Type,Disturbed Value,Detection Time,F1,FDR,Recall,Precision,FPR,FNR
IDV 3,Step,D feed (stream 2) temperature,105,0.09893992932862192,0.0525,0.0525,0.8571428571428571,0.04375,0.9475
IDV 9,Random,D feed (stream 2) temperature,30,0.09433962264150944,0.05,0.05,0.8333333333333334,0.05,0.95
IDV 15,Stiction,Cooling water outlet valve of separator,297,0.15825688073394495,0.08625,0.08625,0.9583333333333334,0.01875,0.91375
IDV 4,Step,Cooling water inlet temperature of reactor,132,0.9975062344139651,1.0,1.0,0.9950248756218906,0.025,0.0
IDV 5,Step,Cooling water inlet temperature of separator,132,0.41732283464566927,0.265,0.265,0.9814814814814815,0.025,0.735
IDV 7,Step,C header pressure loss (stream 4),36,0.9975062344139651,1.0,1.0,0.9950248756218906,0.025,0.0
IDV 1,Step,"A/C-ratio of stream 4, B composition constant",84,0.9975062344139651,1.0,1.0,0.9950248756218906,0.025,0.0
IDV 2,Step,"B composition of stream 4, A/C-ratio constant",33,0.9753008233058897,0.9625,0.9625,0.9884467265725289,0.05625,0.0375
IDV 6,Step,A feed loss (stream 1),276,0.9975062344139651,1.0,1.0,0.9950248756218906,0.025,0.0
IDV 8,Random,A/B/C composition of stream 4,102,0.962532299741602,0.93125,0.93125,0.9959893048128342,0.01875,0.06875
IDV 10,Random,C feed (stream 4) temperature,30,0.5346715328467154,0.36625,0.36625,0.9898648648648649,0.01875,0.63375
IDV 11,Random,Cooling water inlet temperature of reactor,54,0.9070080862533694,0.84125,0.84125,0.9839181286549707,0.06875,0.15875
IDV 12,Random,Cooling water inlet temperature of separator,210,0.9724535554131966,0.94875,0.94875,0.9973718791064389,0.0125,0.05125
IDV 13,Drift,Reaction kinetics,348,0.9738019169329073,0.9525,0.9525,0.996078431372549,0.01875,0.0475
IDV 14,Stiction,Cooling water outlet valve of reactor,45,0.9962640099626401,1.0,1.0,0.9925558312655087,0.0375,0.0
IDV 16,Random,Heat transfer deviation in stripper,297,0.4902143522833178,0.32875,0.32875,0.9633699633699634,0.0625,0.67125
IDV 17,Random,Heat transfer deviation in reactor,21,0.9747155499367889,0.96375,0.96375,0.9859335038363172,0.06875,0.03625
IDV 18,Random,Heat transfer deviation in condenser,66,0.9425587467362925,0.9025,0.9025,0.9863387978142076,0.0625,0.0975
IDV 19,Stiction,Recycle valve underflow (separator/stripper),102,0.4616858237547892,0.30125,0.30125,0.9877049180327869,0.01875,0.69875
IDV 20,Random,(unknown),30,0.722662440570523,0.57,0.57,0.987012987012987,0.0375,0.43
IDV 21,Random,(unknown),402,0.5668449197860963,0.3975,0.3975,0.9875776397515528,0.025,0.6025
