Fault,Type,Disturbed Value,Detection Time,F1,FDR,Recall,Precision,FPR,FNR
IDV 3,Step,D feed (stream 2) temperature,66,0.06979542719614922,0.03625,0.03625,0.9354838709677419,0.0125,0.96375
IDV 9,Random,D feed (stream 2) temperature,348,0.04316546762589928,0.0225,0.0225,0.5294117647058824,0.1,0.9775
IDV 15,Stiction,Cooling water outlet valve of separator,1200,0.13302217036172695,0.07125,0.07125,1.0,0.0,0.92875
IDV 4,Step,Cooling water inlet temperature of reactor,222,0.9987515605493134,1.0,1.0,0.9975062344139651,0.0125,0.0
IDV 5,Step,Cooling water inlet temperature of separator,222,0.9987515605493134,1.0,1.0,0.9975062344139651,0.0125,0.0
IDV 7,Step,C header pressure loss (stream 4),480,1.0,1.0,1.0,1.0,0.0,0.0
IDV 1,Step,"A/C-ratio of stream 4, B composition constant",171,0.9974968710888611,0.99625,0.99625,0.9987468671679198,0.00625,0.00375
IDV 2,Step,"B composition of stream 4, A/C-ratio constant",246,0.9905719673161534,0.985,0.985,0.9962073324905183,0.01875,0.015
IDV 6,Step,A feed loss (stream 1),381,0.9993753903810119,1.0,1.0,0.9987515605493134,0.00625,0.0
IDV 8,Random,A/B/C composition of stream 4,525,0.9892608970309539,0.97875,0.97875,1.0,0.0,0.02125
IDV 10,Random,C feed (stream 4) temperature,534,0.8850174216027874,0.79375,0.79375,1.0,0.0,0.20625
IDV 11,Random,Cooling water inlet temperature of reactor,495,0.8652482269503545,0.7625,0.7625,1.0,0.0,0.2375
IDV 12,Random,Cooling water inlet temperature of separator,474,0.9943573667711598,0.99125,0.99125,0.9974842767295597,0.0125,0.00875
IDV 13,Drift,Reaction kinetics,615,0.9710610932475884,0.94375,0.94375,1.0,0.0,0.05625
IDV 14,Stiction,Cooling water outlet valve of reactor,480,1.0,1.0,1.0,1.0,0.0,0.0
IDV 16,Random,(unknown); deviations of heat transfer within stripper,222,0.8677685950413222,0.7875,0.7875,0.9662576687116564,0.1375,0.2125
IDV 17,Random,(unknown); deviations of heat transfer within reactor,192,0.9618122977346278,0.92875,0.92875,0.9973154362416108,0.0125,0.07125
IDV 18,Random,(unknown); deviations of heat transfer within condenser,528,0.9487516425755586,0.9025,0.9025,1.0,0.0,0.0975
IDV 19,Stiction,"(unknown); recycle valve, underflow separator/stripper",510,0.7301587301587301,0.575,0.575,1.0,0.0,0.425
IDV 20,Random,(unknown),30,0.7552447552447552,0.6075,0.6075,0.997946611909651,0.00625,0.3925
IDV 21,Random,(unknown),351,0.6117850953206239,0.44125,0.44125,0.9971751412429378,0.00625,0.55875
