,PCA,OrthogonalAE,EfficientKAN,FastKAN,FourierKAN,WavKAN
IDV 3,4.35 ± 0.50,3.50 ± 0.58,4.02 ± 0.53,2.73 ± 0.76,2.46 ± 0.86,3.58 ± 0.76
IDV 9,7.60 ± 0.62,7.90 ± 0.86,6.31 ± 0.84,6.46 ± 0.97,4.54 ± 1.25,9.31 ± 1.40
IDV 15,5.12 ± 0.70,3.52 ± 0.60,3.50 ± 0.36,3.50 ± 0.54,0.73 ± 0.14,0.46 ± 0.15
IDV 4,4.62 ± 0.52,2.73 ± 0.41,3.12 ± 0.54,1.92 ± 0.31,2.88 ± 0.48,1.98 ± 0.42
IDV 5,4.62 ± 0.52,2.73 ± 0.41,3.12 ± 0.54,1.92 ± 0.31,2.88 ± 0.48,1.98 ± 0.42
IDV 7,4.22 ± 0.49,2.50 ± 0.49,2.44 ± 0.37,2.21 ± 0.43,2.79 ± 0.45,1.62 ± 0.39
IDV 1,6.12 ± 0.48,3.06 ± 0.48,2.79 ± 0.32,1.69 ± 0.54,1.31 ± 0.22,1.62 ± 0.33
IDV 2,4.20 ± 0.42,2.38 ± 0.36,2.52 ± 0.32,3.52 ± 0.50,3.08 ± 0.32,3.04 ± 0.43
IDV 6,5.70 ± 0.44,2.02 ± 0.44,2.98 ± 0.61,2.88 ± 0.44,1.98 ± 0.26,1.42 ± 0.24
IDV 8,3.90 ± 0.45,3.56 ± 0.54,2.85 ± 0.52,2.71 ± 0.49,0.79 ± 0.25,0.94 ± 0.30
IDV 10,5.70 ± 0.36,2.33 ± 0.45,1.15 ± 0.34,2.31 ± 0.35,1.52 ± 0.45,1.33 ± 0.39
IDV 11,4.30 ± 0.64,3.15 ± 0.42,2.17 ± 0.35,3.77 ± 0.42,0.87 ± 0.34,0.60 ± 0.27
IDV 12,3.77 ± 0.28,3.56 ± 0.58,3.71 ± 0.32,3.98 ± 0.73,3.19 ± 0.63,2.88 ± 0.59
IDV 13,4.80 ± 0.50,1.83 ± 0.36,1.88 ± 0.37,3.42 ± 0.67,0.96 ± 0.20,0.69 ± 0.19
IDV 14,4.62 ± 0.50,1.96 ± 0.36,1.17 ± 0.24,2.69 ± 0.33,1.06 ± 0.35,0.92 ± 0.40
IDV 16,6.88 ± 0.74,6.94 ± 0.67,7.88 ± 0.72,16.96 ± 0.87,10.06 ± 1.21,10.81 ± 1.15
IDV 17,6.30 ± 0.43,4.40 ± 0.63,3.96 ± 0.38,2.65 ± 0.43,2.69 ± 0.41,2.10 ± 0.44
IDV 18,6.80 ± 0.62,2.96 ± 0.59,1.92 ± 0.28,2.90 ± 0.52,0.98 ± 0.17,0.81 ± 0.25
IDV 19,2.52 ± 0.32,2.21 ± 0.51,2.06 ± 0.34,3.98 ± 0.52,0.75 ± 0.36,0.69 ± 0.29
IDV 20,4.85 ± 0.64,1.81 ± 0.35,0.90 ± 0.33,2.08 ± 0.48,1.33 ± 0.24,1.19 ± 0.23
IDV 21,6.85 ± 0.65,5.33 ± 0.68,5.08 ± 0.68,3.17 ± 0.60,1.81 ± 0.50,2.08 ± 0.43
