,PCA,OrthogonalAE,EfficientKAN,FastKAN,FourierKAN,WavKAN
IDV 3,5.74 ± 0.31,6.25 ± 0.64,5.98 ± 0.58,5.64 ± 0.89,5.57 ± 0.83,4.69 ± 0.86
IDV 9,6.39 ± 0.36,5.90 ± 0.60,6.96 ± 0.93,5.24 ± 0.86,4.74 ± 0.82,3.76 ± 0.94
IDV 15,7.84 ± 0.70,8.72 ± 0.93,8.99 ± 0.87,7.24 ± 0.79,9.25 ± 0.72,9.22 ± 0.84
IDV 4,100.00 ± 0.00,99.91 ± 0.11,99.56 ± 0.21,95.58 ± 3.04,75.68 ± 10.06,99.78 ± 0.30
IDV 5,29.18 ± 1.19,36.62 ± 1.38,100.00 ± 0.00,96.51 ± 3.99,30.41 ± 1.25,87.87 ± 6.87
IDV 7,100.00 ± 0.00,99.99 ± 0.02,100.00 ± 0.00,100.00 ± 0.00,100.00 ± 0.00,100.00 ± 0.00
IDV 1,99.91 ± 0.03,99.86 ± 0.03,99.66 ± 0.03,99.53 ± 0.03,99.57 ± 0.05,99.65 ± 0.05
IDV 2,97.91 ± 0.45,98.59 ± 0.10,98.60 ± 0.07,98.11 ± 0.09,98.50 ± 0.07,98.47 ± 0.03
IDV 6,100.00 ± 0.00,100.00 ± 0.00,100.00 ± 0.00,100.00 ± 0.00,100.00 ± 0.00,100.00 ± 0.00
IDV 8,93.54 ± 0.69,98.10 ± 0.11,98.07 ± 0.15,98.19 ± 0.09,98.00 ± 0.14,98.00 ± 0.18
IDV 10,42.41 ± 3.83,59.89 ± 2.47,83.66 ± 1.29,66.57 ± 1.56,47.48 ± 1.25,70.15 ± 2.19
IDV 11,81.15 ± 1.32,78.18 ± 1.21,74.83 ± 1.52,72.98 ± 1.72,67.03 ± 3.79,77.56 ± 2.28
IDV 12,94.22 ± 0.55,98.86 ± 0.09,99.34 ± 0.06,99.03 ± 0.04,98.74 ± 0.12,99.00 ± 0.09
IDV 13,95.40 ± 0.07,95.38 ± 0.08,95.12 ± 0.14,94.83 ± 0.09,94.58 ± 0.12,94.50 ± 0.08
IDV 14,99.99 ± 0.01,99.99 ± 0.01,100.00 ± 0.00,99.98 ± 0.02,99.98 ± 0.02,100.00 ± 0.00
IDV 16,40.08 ± 3.58,55.26 ± 2.66,85.57 ± 1.73,63.28 ± 1.73,36.00 ± 1.41,67.53 ± 2.03
IDV 17,96.09 ± 0.23,96.15 ± 0.31,96.67 ± 0.29,95.22 ± 0.38,89.66 ± 1.40,93.55 ± 0.82
IDV 18,90.77 ± 0.14,90.57 ± 0.18,90.24 ± 0.17,90.00 ± 0.22,90.11 ± 0.28,90.13 ± 0.23
IDV 19,29.47 ± 2.52,33.30 ± 2.54,77.40 ± 3.51,32.07 ± 4.72,14.71 ± 2.69,43.79 ± 8.61
IDV 20,57.82 ± 0.97,62.27 ± 1.24,71.68 ± 1.12,58.32 ± 1.57,50.85 ± 1.83,59.37 ± 2.50
IDV 21,48.27 ± 3.12,46.81 ± 1.89,49.17 ± 2.63,47.46 ± 1.56,43.85 ± 1.41,44.23 ± 1.45
